onsen_id,温泉名,地域,写真ACで検索(URL),取得状況,保存ファイル名(例),role,source_name,license,メモ
1,玉川温泉,秋田・仙北,https://www.photo-ac.com/main/search?q=%E7%8E%89%E5%B7%9D%E6%B8%A9%E6%B3%89,未,写真AC/玉川温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
2,酸ヶ湯温泉,青森・八甲田,https://www.photo-ac.com/main/search?q=%E9%85%B8%E3%83%B6%E6%B9%AF%E6%B8%A9%E6%B3%89,未,写真AC/酸ヶ湯温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
3,乳頭温泉,秋田・仙北,https://www.photo-ac.com/main/search?q=%E4%B9%B3%E9%A0%AD%E6%B8%A9%E6%B3%89,未,写真AC/乳頭温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
4,草津温泉,群馬・草津,https://www.photo-ac.com/main/search?q=%E8%8D%89%E6%B4%A5%E6%B8%A9%E6%B3%89,未,写真AC/草津温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
5,万座温泉,群馬・嬬恋,https://www.photo-ac.com/main/search?q=%E4%B8%87%E5%BA%A7%E6%B8%A9%E6%B3%89,未,写真AC/万座温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
6,有馬温泉,兵庫・神戸,https://www.photo-ac.com/main/search?q=%E6%9C%89%E9%A6%AC%E6%B8%A9%E6%B3%89,未,写真AC/有馬温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
7,道後温泉,愛媛・松山,https://www.photo-ac.com/main/search?q=%E9%81%93%E5%BE%8C%E6%B8%A9%E6%B3%89,未,写真AC/道後温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
8,別所温泉,長野・上田,https://www.photo-ac.com/main/search?q=%E5%88%A5%E6%89%80%E6%B8%A9%E6%B3%89,未,写真AC/別所温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
9,武雄温泉,佐賀・武雄,https://www.photo-ac.com/main/search?q=%E6%AD%A6%E9%9B%84%E6%B8%A9%E6%B3%89,未,写真AC/武雄温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
10,嬉野温泉,佐賀・嬉野,https://www.photo-ac.com/main/search?q=%E5%AC%89%E9%87%8E%E6%B8%A9%E6%B3%89,未,写真AC/嬉野温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
11,黒川温泉,熊本・南小国,https://www.photo-ac.com/main/search?q=%E9%BB%92%E5%B7%9D%E6%B8%A9%E6%B3%89,未,写真AC/黒川温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
12,明礬温泉,大分・別府,https://www.photo-ac.com/main/search?q=%E6%98%8E%E7%A4%AC%E6%B8%A9%E6%B3%89,未,写真AC/明礬温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
13,鉄輪温泉,大分・別府,https://www.photo-ac.com/main/search?q=%E9%89%84%E8%BC%AA%E6%B8%A9%E6%B3%89,未,写真AC/鉄輪温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
